"","species","varval","genus","family","order","class","phylum","kingdom"
"2409","Accipiter hiogaster",450.972222225,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2432","Accipiter imitator",230.5,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2439","Accipiter luteoschistaceus",214,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2443","Accipiter madagascariensis",182,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2453","Accipiter melanochlamys",284.333333333333,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2459","Accipiter melanoleucus",702.2952381,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2488","Accipiter meyerianus",815,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2492","Accipiter minullus",85.7285714285714,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2512","Accipiter nisus",202.941176470588,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2638","Accipiter novaehollandiae",493.606060609091,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2664","Accipiter ovampensis",198.5416666625,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2682","Accipiter poliocephalus",231.8,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2691","Accipiter rhodogaster",188.5,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2694","Accipiter rufitorques",209,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2699","Accipiter rufiventris",198,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2713","Accipiter soloensis",169.4,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2729","Accipiter striatus",141.216666666667,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2789","Accipiter superciliosus",103.95,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2799","Accipiter tachiro",309.6,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2823","Accipiter toussenelii",299.327272727273,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2848","Accipiter trinotatus",146,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2852","Accipiter trivirgatus",276,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2858","Accipiter ventralis",149.785714285714,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2901","Accipiter virgatus",115.916666666667,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2920","Acerodon celebensis",384.84,"Acerodon","Pteropodidae","Chiroptera","Mammalia","Chordata","Animalia"
"2925","Acerodon jubatus",1087.04,"Acerodon","Pteropodidae","Chiroptera","Mammalia","Chordata","Animalia"
"2931","Acerodon mackloti",467.93,"Acerodon","Pteropodidae","Chiroptera","Mammalia","Chordata","Animalia"
"2936","Aceros cassidix",2360,"Aceros","Bucerotidae","Bucerotiformes","Aves","Chordata","Animalia"
"2940","Aceros corrugatus",1590,"Aceros","Bucerotidae","Bucerotiformes","Aves","Chordata","Animalia"
