;;USNM430192;f;;8,3;;
Cacatua;galerita;ANWC47514;m;718;14,5;;
;;ANWC23661;m;;14;;
;;ANWC23648;m;810;16,75;;
;;ANWC23655;m;;15,5;;
;;MVB18510;m;;11,25;;
;;ANWC23653;f;710;13;;
;;ANWC23646;f;800;13;;
;;ANWC23642;f;700;13;;
;;AMO57156;f;850;13,5;;
Cacatua;haematuropygia;USNM562019;f;210;8,8;;
;;USNM208574;;;8,2;;
Cacatua;leadbeateri;ANWC23631;m;240;7,3;;
;;MVB18364;m;;8,1;;
;;SAMB45387;m;;9,15;;
;;AMO70456;m;460;8,8;;
;;USNM346850;f;;8,6;;
Cacatua;moluccensis;MVB12824;f;569,5;14,5;;
;;SAMB14790;;;17,25;;
;;USNM320274;f;;14,5;;
;;USNM344785;m;;16,25;;
;;USNM560775;f;;16;;
Cacatua;ophthalmica;AMS610;;;15;;
Cacatua;pastinator;MVB20283;m;753,2;12,25;;
;;MVB19234;f;500;9,8;;
;;MVB19289;f;520;9,8;;
;;MVB19175;f;579,2;9,6;;
Cacatua;roseicapillus;ANWC23623;m;380;6,4;;
;;ANWC23624;m;370;7;;
;;ANWC23629;m;320;6,1;;
;;ANWC23603;m;385;7,2;;
;;ANWC23622;m;415;6,9;;
;;ANWC23627;f;320;6;;
;;ANWC23613;f;350;6,3;;
;;ANWC23602;f;290;5,6;;
;;ANWC23610;f;320;5,7;;
;;ANWC23604;f;360;6,3;;
Cacatua;sanguinea;ANWC23666;m;440;9,3;;
;;ANWC23665;m;460;9,5;;
;;MVB13007;m;487,4;8,7;;
;;MVB13807;m;390;9,2;;
;;MVB20240;m;450;9,7;;
;;ANWC36090;f;430;8,4;;
;;MVB13805;f;405;7,9;;
;;MVB12844;f;450;8,8;;
;;MVB12839;f;465;8,8;;
;;MVB20168;f;398;8,8;;
Cacatua;sulphurea;USNM347770;f;;9,15;;
;;USNM344781;m;;10,15;;
;;USNM344794;m;;9,6;;
;;USNM344777;m;;10,2;;
;;USNM344783;m;;10,1;;
;;USNM225815;m;;10,4;;
Cacatua;tenuirostris;ANWC23675;m;;11,4;;
;;MVB18357;m;522,1;11,25;;
;;MVB16273;m;531,7;9,1;;
;;MVB18429;m;519,8;11;;
;;MVB18544;m;554,2;11,5;;
;;ANWC23674;f;;11,25;;
;;MVB11673;f;539,7;9,8;;
;;MVB16272;f;502,7;10,25;;
;;MVB16058;f;518,2;10,5;;
;;MVB15646;f;500,7;10,3;;
Callocephalon;fimbriatum;ANWC23574;m;;7,8;;
;;MVB12877;m;265,3;7,8;;
;;MVB12912;m;;7,7;;
;;MVW9981;m;;7,8;;
;;MVB18948;m;248;7,1;;
;;ANWC23575;f;;7,2;;
;;MVB19280;f;173;7,2;;
;;USNM346840;f;;7,15;;
;;USNM430494;f;;7,6;;
Calyptorhynchus;banskii;MVW5400;m;;10,3;;
;;SAMB45914;m;;14,5;;
;;AMS1006;m;;12,25;;
;;MVB11504;f;;10,6;;
;;SAMB45913;f;;12,5;;
Calyptorhynchus;baudinii;ANWC23562;m;630;14;;
;;ANWC23516;m;680;14,75;;
;;ANWC23520;m;690;14;;
;;ANWC23515;f;700;15;;
Calyptorhynchus;funereus;MVW6153;m;;15,5;;
;;MVB11397;m;;13,75;;
;;MVW5857;m;;13,5;;
;;MVB11403;f;;14,25;;
;;SAMB47897;f;;16;;
;;SAMB47896;f;;14;;
;;SAMB47894;f;;14,25;;
;;SAMB47898;f;;18,75;;
Calyptorhynchus;lathami;SAMB47872;f;;9,1;;
;;SAMB37346;;;9,8;;
;;QMO21069;f;;10,4;;
;;AMO68478;m;;9,8;;
Calyptorhynchus;latirostris;ANWC23534;m;690;16,5;;
;;ANWC23542;m;650;14;;
;;ANWC23532;m;650;15,25;;
;;ANWC23548;m;700;13,75;;
;;ANWC23550;m;;14,25;;
;;ANWC23526;f;700;14,75;;
;;ANWC23531;f;730;15;;
;;ANWC23546;f;610;11,5;;
Charmosyna;papou;USNM613778;m;74,2;3,65;;
;;USNM611650;m;;3,4;;
;;USNM612219;f;;3,75;;
;;USNM611651;f;;3,2;;
;;USNM614243;f;71,7;3,2;;
;;ANWC23697;;98;3,05;;
Charmosyna;pulchella;ANWC23696;m;31,5;1,3;;
;;ANWC23695;f;28,5;1,5;;
;;MVB19242;m;28;1,25;;
Conuropsis;carolinensis;USNM499104;f;;4,5;;
;;USNM223857;f;;4,6;;
;;USNM292905;;;4,3;;
